Date,Open,High,Low,Close,Adj Close,Volume
2016-08-09,758.000000,768.500000,753.950012,763.500000,717.642334,3787646
2016-08-10,770.000000,799.780029,767.000000,797.000000,749.130371,5902952
2016-08-11,799.000000,800.500000,785.000000,799.000000,751.010132,4655805
2016-08-12,799.500000,814.500000,795.000000,799.500000,751.480103,4597390
2016-08-15,798.000000,801.500000,789.000000,796.000000,748.190430,2873147
2016-08-16,791.000000,795.000000,785.000000,788.000000,740.670898,3876413
2016-08-17,789.500000,792.500000,782.000000,782.500000,735.501160,6153066
2016-08-18,784.500000,794.500000,783.500000,789.000000,741.610840,2980201
2016-08-19,789.000000,796.500000,786.500000,792.000000,744.430603,2859532
2016-08-22,791.500000,795.900024,780.500000,784.500000,737.381104,2607613
2016-08-23,786.500000,796.000000,783.500000,794.000000,746.310486,2193424
2016-08-24,789.500000,794.000000,781.500000,788.500000,741.140747,2661729
2016-08-25,786.000000,787.500000,769.854004,774.000000,727.511719,8283785
2016-08-26,775.500000,786.000000,770.500000,784.500000,737.381104,2138453
2016-08-30,778.000000,784.000000,767.000000,767.500000,721.402100,3322090
2016-08-31,767.000000,772.500000,762.000000,770.000000,723.751953,3867168
2016-09-01,769.000000,777.000000,757.500000,760.000000,714.352539,5376876
2016-09-02,765.000000,789.000000,762.500000,783.500000,736.441040,5062866
2016-09-05,781.500000,785.500000,774.500000,783.000000,735.971191,2233392
2016-09-06,785.000000,788.317993,773.500000,774.000000,727.511719,2980063
2016-09-07,761.000000,773.125977,752.848999,767.000000,720.932129,5430670
2016-09-08,764.500000,774.000000,748.000000,750.000000,704.953247,5572407
2016-09-09,747.000000,751.388977,722.875000,725.500000,681.924805,5220451
2016-09-12,715.000000,718.000000,705.000000,718.000000,674.875244,5464700
2016-09-13,723.500000,729.500000,716.000000,719.500000,676.285095,3909258
2016-09-14,720.000000,732.500000,717.872009,726.000000,682.394653,4340067
2016-09-15,725.500000,733.000000,723.000000,729.500000,685.684448,3140079
2016-09-16,730.000000,730.500000,721.000000,727.500000,683.804626,18580442
2016-09-19,732.000000,744.500000,726.164001,739.500000,695.083923,2467204
2016-09-20,736.500000,742.500000,733.000000,733.000000,688.974182,4012854
2016-09-21,735.500000,737.500000,722.625000,726.000000,682.394653,4279710
2016-09-22,716.000000,740.500000,709.010010,733.000000,688.974182,3931025
2016-09-23,735.000000,735.299988,721.500000,722.500000,679.104919,4100945
2016-09-26,718.000000,722.500000,710.000000,712.000000,669.235596,2853735
2016-09-27,718.000000,720.000000,702.000000,711.000000,668.295654,17145947
2016-09-28,712.000000,722.500000,708.000000,717.500000,674.405273,3005211
2016-09-29,718.000000,725.000000,709.500000,712.500000,669.705505,4136299
2016-09-30,706.500000,720.000000,702.000000,720.000000,676.755005,4806597
2016-10-03,720.000000,741.500000,718.000000,737.500000,693.203979,3594608
2016-10-04,743.500000,765.000000,742.500000,760.500000,714.822571,8214059
2016-10-05,761.000000,765.125977,751.250000,754.500000,709.182983,4677420
2016-10-06,755.000000,766.125000,754.500000,760.000000,714.352539,3420602
2016-10-07,763.500000,778.500000,763.500000,775.500000,728.921570,6602820
2016-10-10,780.000000,794.500000,778.500000,785.500000,738.320984,4253555
2016-10-11,786.500000,792.000000,768.835022,774.500000,727.981628,17404964
2016-10-12,772.000000,777.000000,752.500000,754.000000,708.713013,4622587
2016-10-13,753.500000,762.750000,747.500000,751.500000,706.363037,4931252
2016-10-14,753.000000,767.500000,749.400024,764.500000,718.582397,3845999
2016-10-17,761.000000,775.500000,756.500000,773.500000,727.041748,8452667
2016-10-18,776.500000,784.179993,754.874023,761.000000,715.292603,7860883
2016-10-19,759.000000,767.000000,753.000000,766.000000,719.992188,2696537
2016-10-20,761.500000,767.125000,748.000000,766.000000,724.342041,4069469
2016-10-21,764.000000,768.000000,752.500000,755.000000,713.940247,4068303
2016-10-24,760.500000,765.500000,744.000000,746.000000,705.429688,2835727
2016-10-25,746.000000,748.500000,733.000000,739.000000,698.810425,5551184
2016-10-26,733.500000,739.500000,722.500000,736.500000,696.446350,3817871
2016-10-27,733.000000,741.000000,728.000000,740.500000,700.228821,3360294
2016-10-28,737.500000,740.000000,729.500000,734.500000,694.555115,3753166
2016-10-31,732.500000,732.500000,725.250000,726.500000,686.990173,4334739
2016-11-01,726.500000,732.000000,719.250000,726.000000,686.517334,3474677
2016-11-02,723.500000,725.500000,713.000000,720.000000,680.843628,2997642
2016-11-03,720.000000,724.000000,703.000000,707.500000,669.023499,6083968
2016-11-04,713.000000,717.500000,706.500000,712.500000,673.751587,5187391
2016-11-07,722.000000,728.500000,718.500000,724.000000,684.626160,4592544
2016-11-08,722.500000,727.000000,713.500000,718.500000,679.425354,4254587
2016-11-09,703.000000,763.000000,699.500000,758.000000,716.777161,8307305
2016-11-10,758.500000,794.049988,757.606018,770.500000,728.597351,6742959
2016-11-11,768.000000,769.000000,736.000000,740.500000,700.228821,4537971
2016-11-14,747.500000,766.000000,741.500000,746.000000,705.429688,10097132
2016-11-15,740.000000,754.500000,738.500000,754.500000,713.467468,9618888
2016-11-16,754.000000,779.500000,719.500000,738.500000,698.337585,10065957
2016-11-17,743.000000,773.693970,699.000000,699.000000,660.985779,8553428
2016-11-18,705.000000,705.000000,652.000000,657.500000,621.742615,12444699
2016-11-21,656.000000,662.000000,643.500000,657.000000,621.269897,14325444
2016-11-22,663.500000,663.500000,651.950012,660.000000,624.106750,7062852
2016-11-23,662.000000,675.000000,653.700012,670.500000,634.035706,7934051
2016-11-24,670.000000,680.590027,666.500000,672.500000,635.926880,3365490
2016-11-25,671.000000,673.500000,664.000000,666.000000,629.780396,2103929
2016-11-28,665.000000,674.500000,658.500000,672.500000,635.926880,3336131
2016-11-29,674.000000,679.500000,667.000000,673.000000,636.399719,4266893
2016-11-30,675.000000,684.000000,672.500000,676.500000,639.709351,9218258
2016-12-01,672.000000,697.000000,672.000000,682.000000,644.910217,5304972
2016-12-02,675.500000,676.000000,652.500000,661.000000,625.052307,4397292
2016-12-05,660.500000,677.000000,659.401001,665.500000,629.307617,3177956
2016-12-06,663.000000,664.000000,650.390015,661.500000,625.525146,3211126
2016-12-07,668.000000,683.000000,664.500000,672.500000,635.926880,4957963
2016-12-08,672.000000,677.127014,656.500000,658.500000,622.688232,8229636
2016-12-09,659.000000,673.000000,656.000000,668.000000,631.671631,3469128
2016-12-12,668.500000,674.000000,646.000000,651.000000,615.596191,4284997
2016-12-13,651.500000,681.111023,646.000000,678.000000,641.127808,12399476
2016-12-14,678.500000,690.500000,670.000000,670.000000,633.562866,6506649
2016-12-15,672.000000,677.000000,659.000000,671.500000,634.981323,4162312
2016-12-16,674.500000,684.000000,670.500000,675.000000,638.291016,4887105
2016-12-19,676.000000,677.000000,667.500000,673.000000,636.399719,2766845
2016-12-20,674.000000,677.500000,667.000000,676.000000,639.236572,4119706
2016-12-21,675.000000,691.000000,673.000000,685.000000,647.747131,6651712
2016-12-22,682.500000,684.000000,676.500000,682.500000,645.383118,2428783
2016-12-23,684.500000,686.500000,680.500000,680.500000,643.491821,600744
2016-12-28,666.000000,687.500000,664.500000,686.500000,649.165588,3377241
2016-12-29,682.000000,684.500000,671.890015,678.000000,641.127808,1585970
2016-12-30,676.000000,678.500000,668.000000,668.000000,631.671631,3357703
2017-01-03,674.000000,683.000000,667.000000,670.000000,633.562866,3761729
2017-01-04,673.500000,674.500000,658.500000,667.500000,631.198853,3633908
2017-01-05,662.000000,663.500000,635.000000,639.500000,604.721619,11396939
2017-01-06,644.000000,651.000000,635.500000,650.500000,615.123352,6834704
2017-01-09,653.000000,661.559998,644.000000,661.000000,625.052307,5198886
2017-01-10,660.000000,670.500000,657.479980,667.500000,631.198853,5522799
2017-01-11,667.000000,671.500000,661.000000,670.000000,633.562866,4344351
2017-01-12,669.000000,677.135010,664.862976,677.000000,640.182190,5779259
2017-01-13,679.000000,680.000000,657.500000,661.500000,625.525146,5204813
2017-01-16,657.500000,666.210022,653.500000,665.000000,628.834778,3247687
2017-01-17,690.000000,719.250000,688.500000,694.500000,656.730530,14840940
2017-01-18,696.500000,701.000000,691.500000,693.500000,655.784790,6152858
2017-01-19,693.500000,707.000000,691.500000,702.500000,664.295410,5118431
2017-01-20,703.000000,705.000000,686.000000,688.500000,651.056763,5131616
2017-01-23,685.500000,692.609985,678.500000,691.500000,653.893616,4025211
2017-01-24,686.500000,690.000000,668.000000,680.500000,643.491821,8551767
2017-01-25,685.000000,693.000000,678.500000,686.000000,648.692810,3832181
2017-01-26,689.000000,692.500000,677.000000,692.000000,654.366516,4918244
2017-01-27,693.500000,695.000000,679.000000,686.000000,648.692810,5590509
2017-01-30,684.000000,686.099976,658.500000,660.000000,624.106750,5435871
2017-01-31,662.000000,675.000000,660.000000,667.500000,631.198853,7561030
2017-02-01,682.000000,689.000000,667.500000,668.000000,631.671631,5880547
2017-02-02,666.500000,680.500000,665.500000,674.000000,637.345337,4845631
2017-02-03,677.500000,677.500000,665.500000,671.000000,634.508545,3512210
2017-02-06,671.500000,681.500000,664.317993,680.500000,643.491821,6370744
2017-02-07,680.000000,705.500000,676.500000,700.500000,662.404236,7261470
2017-02-08,700.000000,730.000000,700.000000,720.000000,680.843628,9155420
2017-02-09,720.000000,723.000000,708.500000,718.000000,678.952515,4616226
2017-02-10,717.000000,739.500000,713.000000,732.500000,692.663879,7755909
2017-02-13,730.500000,744.362000,726.000000,740.000000,699.755981,11469121
2017-02-14,746.500000,749.500000,693.500000,710.500000,671.860352,26798941
2017-02-15,712.500000,722.559021,701.000000,704.500000,666.186646,11696764
2017-02-16,704.000000,704.000000,688.890015,693.500000,655.784790,7831537
2017-02-17,694.500000,695.500000,664.000000,666.000000,629.780396,18408027
2017-02-20,683.500000,710.500000,673.369995,708.000000,669.496277,8845499
2017-02-21,710.000000,735.000000,707.500000,732.500000,692.663879,10157875
2017-02-22,738.000000,753.179993,735.000000,751.500000,710.630615,11088523
2017-02-23,749.500000,764.000000,740.000000,764.000000,722.450806,11819660
2017-02-24,759.500000,769.000000,758.000000,763.500000,721.977905,8570103
2017-02-27,765.500000,771.000000,761.000000,768.000000,726.233276,4488482
2017-02-28,767.000000,788.500000,761.000000,787.000000,744.200012,9368086
2017-03-01,788.500000,792.500000,778.500000,782.500000,739.944702,9080648
2017-03-02,780.000000,781.500000,771.500000,776.500000,734.271118,6836001
2017-03-03,775.500000,775.500000,765.000000,770.500000,728.597351,5642747
2017-03-06,770.500000,773.169983,759.500000,760.000000,718.668335,3863646
2017-03-07,762.000000,763.500000,755.000000,757.000000,715.831482,13883666
2017-03-08,756.000000,758.000000,749.000000,749.000000,708.266541,5321817
2017-03-09,750.000000,753.500000,740.164978,747.500000,706.848206,8140793
2017-03-10,749.000000,758.500000,742.883972,754.500000,713.467468,9279988
2017-03-13,754.000000,767.000000,753.335022,762.000000,720.559631,6552898
2017-03-14,764.500000,772.500000,763.000000,767.000000,725.287598,5304688
2017-03-15,771.000000,774.000000,765.500000,773.000000,730.961365,6559499
2017-03-16,778.000000,783.164978,770.500000,774.500000,732.379761,4941509
2017-03-17,771.500000,778.000000,766.500000,772.500000,730.488586,7657159
2017-03-20,771.000000,777.239990,765.000000,775.000000,732.852539,3883330
2017-03-21,779.500000,783.500000,764.500000,778.000000,735.689392,5659220
2017-03-22,779.000000,779.500000,757.335022,758.000000,716.777161,5266125
2017-03-23,756.500000,762.239990,741.500000,754.000000,712.994690,8227504
2017-03-24,755.000000,765.500000,751.921997,756.500000,715.358704,7430741
2017-03-27,755.000000,755.000000,733.500000,743.000000,702.592896,4133668
2017-03-28,744.000000,753.500000,740.500000,753.500000,712.521912,3911056
2017-03-29,753.500000,763.000000,746.000000,759.000000,717.722717,5566497
2017-03-30,758.500000,766.000000,752.000000,766.000000,724.342041,3695576
2017-03-31,767.500000,769.000000,754.000000,754.000000,712.994690,5425181
2017-04-03,760.000000,760.000000,749.335022,750.500000,709.684998,4041236
2017-04-04,752.000000,770.500000,751.000000,766.500000,724.814880,5513716
2017-04-05,768.500000,780.164978,766.330017,778.500000,736.162231,7296903
2017-04-06,774.000000,789.664978,770.000000,784.000000,741.363159,7970490
2017-04-07,785.000000,798.500000,781.500000,797.000000,753.656189,4427332
2017-04-10,800.000000,801.500000,794.500000,797.000000,753.656189,4514343
2017-04-11,794.000000,816.000000,793.000000,810.500000,766.421936,6935836
2017-04-12,814.000000,845.000000,811.000000,830.500000,785.334290,12251268
2017-04-13,829.500000,836.752991,821.000000,828.500000,783.443054,8633431
2017-04-18,832.500000,837.000000,811.000000,815.500000,771.150085,7367753
2017-04-19,815.000000,819.000000,795.500000,801.000000,757.438599,7598377
2017-04-20,802.500000,808.500000,797.219971,805.000000,761.221069,17937407
2017-04-21,803.000000,811.000000,799.500000,806.500000,762.639526,6535967
2017-04-24,822.500000,823.000000,802.500000,810.000000,765.949158,4048777
2017-04-25,813.000000,814.000000,809.000000,812.500000,768.313232,3660552
2017-04-26,810.000000,829.500000,807.000000,826.000000,781.078979,3832458
